"source_college","target_university","major","academic_year","required_uc_course_or_area","articulated_ccsf_course","notes","raw_agreement_url_or_id"
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","HIST 37","HIST 35B","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","HIST 40","HIST 37","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","HIST 41A","HIST 40","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","AFRICAM 5B","HIST 41A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","LGBT 11","JAPA 39","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","LALS 9","LALS 1","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","LALS 15","LALS 14","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","LBCS 70B","LBCS 70A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","LGBT 9","LBCS 70B","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","LGBT 20","LGBT 18","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","WGST 10","VMD 110","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ANTH 20","ANTH 11","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ANTH 25","ANTH 20","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ASIA 15","ANTH 25","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ASIA 30","ASIA 15","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CHIN 39","ASIA 30","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","GEOG 3","ECON 6","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","GEOG 4","GEOG 3","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","IDST 31","IDST 27B","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","IDST 31","IDST 30","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","IDST 36","IDST 31","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","IDST 47","IDST 46","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","POLS 2","LALS 13","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","POLS 4","POLS 2","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","POLS 5","POLS 4","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","POLS 18","POLS 5","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","POLS 45","POLS 18","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","SPAN 3","POLS 45","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","SPAN 6B","SPAN 3","5.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","HUM 8","HUM 7","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","HUM 41A","HUM 8","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","HUM 41B","HUM 41A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","HUM 48","HUM 41B","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","IDST 27B","IDST 4","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","IDST 31","IDST 27B","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","PHST 42","IDST 29","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","IDST 46","PHST 42","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","PHIL 4","PHIL 2","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","PHIL 12A","PHIL 4","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","PHIL 25A","PHIL 12A","5.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","PHIL 25C","PHIL 25A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","PHIL 40","PHIL 25C","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","POLS 3","PHIL 40","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","PHYC 4A","PHYSICS 7A","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","PHYC 2A","PHYSICS 8A","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","AFAM 60","ADMJ 52","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","AMS 5","AFAM 60","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ANTH 2","AMS 5","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ASAMST 20A","ANTH 2","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ANTH 8","ANTH 4","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ANTH 11","ANTH 8","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ANTH 20","ANTH 11","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ANTH 15","ANTH 12","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ANTH 20","ANTH 15","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ANTH 25","ANTH 20","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ASIA 15","ANTH 25","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ASAM 8","ASAM 6","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ASAM 10","ASAM 8","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ASAM 20","ASAM 10","3.00 units",""
